DATE,HH,BRN
2018-02-07,2.74,65.74
2018-02-08,2.74,64.26
2018-02-09,2.66,63.04
2018-02-12,2.6,62.2
2018-02-13,2.58,61.94
2018-02-14,2.53,62.29
2018-02-15,2.49,62.86
2018-02-16,2.49,64.3
2018-02-20,2.61,64.68
2018-02-21,2.65,64.81
2018-02-22,2.65,66.12
2018-02-23,2.58,67.04
2018-02-26,2.6,67.96
2018-02-27,2.59,67.59
2018-02-28,2.66,66.08
2018-03-01,2.67,64.23
2018-03-02,2.67,64.26
2018-03-05,2.7,65.78
2018-03-06,2.7,65.67
2018-03-07,2.8,65.09
2018-03-08,2.8,63.87
2018-03-09,2.71,65.19
2018-03-12,2.78,64.53
2018-03-13,2.76,64.2
2018-03-14,2.69,63.61
2018-03-15,2.7,63.67
2018-03-16,2.62,64.68
2018-03-19,2.62,64.82
2018-03-20,2.71,66.0
2018-03-21,2.74,68.15
2018-03-22,2.62,68.98
2018-03-23,2.58,69.03
2018-03-26,2.63,68.81
2018-03-27,2.6,68.63
2018-03-28,2.64,68.13
2018-03-29,2.81,69.02
2018-04-03,2.75,69.02
2018-04-04,2.81,66.04
2018-04-05,2.81,66.54
2018-04-06,2.81,66.51
2018-04-09,2.78,68.19
2018-04-10,2.78,70.67
2018-04-11,2.74,72.74
2018-04-12,2.76,71.44
2018-04-13,2.82,73.18
2018-04-16,2.88,72.05
2018-04-17,2.84,71.71
2018-04-18,2.85,73.73
2018-04-19,2.8,74.85
2018-04-20,2.78,74.62
2018-04-23,2.78,74.54
2018-04-24,2.79,75.86
2018-04-25,2.81,73.79
2018-04-26,2.81,75.39
2018-04-27,2.82,75.33
2018-04-30,2.75,75.92
2018-05-01,2.75,74.85
2018-05-02,2.77,73.14
2018-05-03,2.75,73.45
2018-05-04,2.75,74.75
2018-05-08,2.77,74.16
2018-05-09,2.75,77.6
2018-05-10,2.78,77.59
2018-05-11,2.75,77.37
2018-05-14,2.84,78.17
2018-05-15,2.83,78.94
2018-05-16,2.85,78.19
2018-05-17,2.75,80.09
2018-05-18,2.75,78.38
2018-05-21,2.77,78.34
2018-05-22,2.76,80.42
2018-05-23,2.89,78.69
2018-05-24,2.88,78.9
2018-05-25,2.88,76.6
2018-05-29,2.84,74.51
2018-05-30,2.83,75.89
2018-05-31,2.94,76.45
2018-06-01,2.91,74.54
2018-06-04,2.89,73.41
2018-06-05,2.89,72.91
2018-06-06,2.89,73.23
2018-06-07,3.02,75.23
2018-06-08,2.91,75.11
2018-06-11,3.0,74.58
2018-06-12,2.98,74.86
2018-06-13,2.98,75.07
2018-06-14,2.99,74.77
2018-06-15,3.02,72.02
2018-06-18,2.99,74.87
2018-06-19,2.95,74.92
2018-06-20,2.96,74.25
2018-06-21,3.08,72.87
2018-06-22,2.95,73.67
2018-06-25,2.96,72.82
2018-06-26,2.98,73.58
2018-06-27,3.01,76.09
2018-06-28,2.99,76.26
2018-06-29,2.96,77.44
2018-07-02,2.9,76.71
2018-07-03,2.9,75.87
2018-07-05,2.91,77.09
2018-07-06,2.91,74.98
2018-07-09,2.9,77.08
2018-07-10,2.9,77.8
2018-07-11,2.89,75.35
2018-07-12,2.89,72.11
2018-07-13,2.86,74.11
2018-07-16,2.76,71.03
2018-07-17,2.81,70.87
2018-07-18,2.8,70.52
2018-07-19,2.75,71.94
2018-07-20,2.79,71.99
2018-07-23,2.79,73.45
2018-07-24,2.73,73.53
2018-07-25,2.82,73.67
2018-07-26,2.82,74.51
2018-07-27,2.78,74.84
2018-07-30,2.75,74.99
2018-07-31,2.82,74.16
2018-08-01,2.8,72.28
2018-08-02,2.77,72.95
2018-08-03,2.86,72.48
